Lon,Lat,Size,Intensity
-87.79,28.52,63.8,23.0
-86.59,30.21,98.8,34.2
-89.99,27.2,65.3,22.4
-88.33,28.76,67.3,20.1
-87.31,29.92,64.6,24.7
-88.02,29.64,88.1,34.4
-88.12,28.13,91.8,33.4
-89.66,28.3,70.9,19.1
-87.77,29.7,81.8,34.8
-87.79,29.21,64.9,19.6
-85.55,26.36,72.3,18.4
-86.05,27.06,71.8,21.3
-88.58,28.68,66.5,21.8
-86.79,29.13,89.5,34.1
-88.48,28.64,65.1,22.3
-88.24,29.31,62.6,35.5
-87.25,28.26,70.1,20.4
-87.04,29.52,80.9,21.5
-88.72,28.88,63.7,35.2
-86.12,26.8,97.7,32.3
-89.16,27.5,86.6,24.6
-88.42,29.18,77.7,20.9
-88.48,27.98,61.1,20.4
-89.93,27.97,65.6,18.5
-88.67,27.94,97.8,33.0
-86.59,27.88,90.5,33.3
-89.06,27.73,89.6,33.3
-86.17,30.38,54.0,19.4
-88.32,28.01,63.1,34.7
-87.42,26.37,80.9,24.3
-85.67,27.38,70.3,20.4
-86.96,29.12,95.4,33.8
-88.68,30.13,56.4,21.1
-88.69,27.13,82.6,21.3
-88.93,28.47,64.0,20.0
-87.03,28.53,51.4,16.9
-89.46,28.01,73.9,19.6
